0	0	20
1	1	20
2	2	20
3	3	20
4	4	20
5	5	20
6	6	20
7	7	20
8	8	20
9	9	20
10	10	20
11	11	20
12	12	20
13	13	20
14	14	20
15	15	20
16	16	20
17	17	20
18	18	20
19	19	20
20	20	20
21	21	20
22	22	20
23	23	20
24	24	20
25	25	20
26	26	20
27	27	20
28	28	20
29	29	20
30	30	20
31	31	20
32	0	21
33	1	21
34	2	21
35	3	21
36	4	21
37	5	21
38	6	21
39	7	21
40	8	21
41	9	21
42	10	21
43	11	21
44	12	21
45	13	21
46	14	21
47	15	21
48	16	21
49	17	21
50	18	21
51	19	21
52	20	21
53	21	21
54	22	21
55	23	21
56	24	21
57	25	21
58	26	21
59	27	21
60	28	21
61	29	21
62	30	21
63	31	21
64	0	22
65	1	22
66	2	22
67	3	22
68	4	22
69	5	22
70	6	22
71	7	22
72	8	22
73	9	22
74	10	22
75	11	22
76	12	22
77	13	22
78	14	22
79	15	22
80	16	22
81	17	22
82	18	22
83	19	22
84	20	22
85	21	22
86	22	22
87	23	22
88	24	22
89	25	22
90	26	22
91	27	22
92	28	22
93	29	22
94	30	22
95	31	22
96	0	5
97	0	14
98	1	5
99	1	14
100	2	9
101	3	9
102	4	9
103	5	4
104	5	9
105	6	4
106	10	4
107	11	4
108	11	12
109	12	12
110	13	16
111	14	16
112	15	16
113	16	6
114	16	16
115	17	6
116	18	11
117	19	11
118	20	11
119	21	11
120	25	8
121	26	8
122	27	8
123	28	8
124	28	14
125	29	14
126	30	5
127	30	14
128	31	5
129	31	14
-1
